generation,avg_survival,n1_weight_mag,n2_weight_mag
674,18,0.0000,0.0000
675,19,0.0000,0.0000
676,19,0.0000,0.0000
677,19,0.0000,0.0000
678,19,0.0000,0.0000
679,20,0.0000,0.0000
680,18,0.0000,0.0000
681,19,0.0000,0.0000
682,19,0.0000,0.0000
683,18,0.0000,0.0000
684,19,0.0000,0.0000
685,19,0.0000,0.0000
686,18,0.0000,0.0000
687,19,0.0000,0.0000
688,20,0.0000,0.0000
689,20,0.0000,0.0000
690,20,0.0000,0.0000
691,19,0.0000,0.0000
692,19,0.0000,0.0000
693,19,0.0000,0.0000
694,19,0.0000,0.0000
695,18,0.0000,0.0000
696,18,0.0000,0.0000
697,19,0.0000,0.0000
698,19,0.0000,0.0000
699,19,0.0000,0.0000
700,19,0.0000,0.0000
701,19,0.0000,0.0000
702,18,0.0000,0.0000
703,19,0.0000,0.0000
704,19,0.0000,0.0000
705,19,0.0000,0.0000
706,19,0.0000,0.0000
707,19,0.0000,0.0000
708,18,0.0000,0.0000
709,19,0.0000,0.0000
710,19,0.0000,0.0000
711,18,0.0000,0.0000
712,18,0.0000,0.0000
713,18,0.0000,0.0000
714,18,0.0000,0.0000
715,18,0.0000,0.0000
716,19,0.0000,0.0000
717,19,0.0000,0.0000
718,20,0.0000,0.0000
719,18,0.0000,0.0000
720,19,0.0000,0.0000
721,19,0.0000,0.0000
722,18,0.0000,0.0000
723,19,0.0000,0.0000
724,18,0.0000,0.0000
725,18,0.0000,0.0000
726,19,0.0000,0.0000
727,18,0.0000,0.0000
728,18,0.0000,0.0000
729,19,0.0000,0.0000
730,20,0.0000,0.0000
731,19,0.0000,0.0000
732,19,0.0000,0.0000
733,19,0.0000,0.0000
734,18,0.0000,0.0000
735,19,0.0000,0.0000
736,18,0.0000,0.0000
737,18,0.0000,0.0000
738,19,0.0000,0.0000
739,19,0.0000,0.0000
740,19,0.0000,0.0000
741,19,0.0000,0.0000
742,19,0.0000,0.0000
743,19,0.0000,0.0000
744,19,0.0000,0.0000
745,19,0.0000,0.0000
746,20,0.0000,0.0000
747,19,0.0000,0.0000
748,19,0.0000,0.0000
749,19,0.0000,0.0000
750,20,0.0000,0.0000
751,20,0.0000,0.0000
752,20,0.0000,0.0000
753,19,0.0000,0.0000
754,19,0.0000,0.0000
755,19,0.0000,0.0000
756,20,0.0000,0.0000
757,19,0.0000,0.0000
758,19,0.0000,0.0000
759,18,0.0000,0.0000
760,19,0.0000,0.0000
761,18,0.0000,0.0000
762,19,0.0000,0.0000
763,19,0.0000,0.0000
764,18,0.0000,0.0000
765,19,0.0000,0.0000
766,20,0.0000,0.0000
767,20,0.0000,0.0000
768,19,0.0000,0.0000
769,18,0.0000,0.0000
770,20,0.0000,0.0000
771,20,0.0000,0.0000
772,20,0.0000,0.0000
773,20,0.0000,0.0000
774,19,0.0000,0.0000
775,18,0.0000,0.0000
776,19,0.0000,0.0000
777,19,0.0000,0.0000
778,19,0.0000,0.0000
779,19,0.0000,0.0000
780,18,0.0000,0.0000
781,19,0.0000,0.0000
782,19,0.0000,0.0000
783,19,0.0000,0.0000
784,20,0.0000,0.0000
785,19,0.0000,0.0000
786,19,0.0000,0.0000
787,19,0.0000,0.0000
788,19,0.0000,0.0000
789,19,0.0000,0.0000
790,19,0.0000,0.0000
791,19,0.0000,0.0000
792,18,0.0000,0.0000
793,18,0.0000,0.0000
794,19,0.0000,0.0000
795,18,0.0000,0.0000
796,18,0.0000,0.0000
797,19,0.0000,0.0000
798,19,0.0000,0.0000
799,19,0.0000,0.0000
800,19,0.0000,0.0000
801,19,0.0000,0.0000
802,19,0.0000,0.0000
803,20,0.0000,0.0000
804,20,0.0000,0.0000
805,19,0.0000,0.0000
806,19,0.0000,0.0000
807,18,0.0000,0.0000
808,19,0.0000,0.0000
809,19,0.0000,0.0000
810,19,0.0000,0.0000
811,18,0.0000,0.0000
812,18,0.0000,0.0000
813,18,0.0000,0.0000
814,19,0.0000,0.0000
815,19,0.0000,0.0000
816,19,0.0000,0.0000
817,18,0.0000,0.0000
818,19,0.0000,0.0000
819,20,0.0000,0.0000
820,19,0.0000,0.0000
821,18,0.0000,0.0000
822,19,0.0000,0.0000
823,19,0.0000,0.0000
824,19,0.0000,0.0000
825,19,0.0000,0.0000
826,19,0.0000,0.0000
827,18,0.0000,0.0000
828,19,0.0000,0.0000
829,20,0.0000,0.0000
830,19,0.0000,0.0000
831,19,0.0000,0.0000
832,21,0.0000,0.0000
833,18,0.0000,0.0000
834,19,0.0000,0.0000
835,20,0.0000,0.0000
836,20,0.0000,0.0000
837,19,0.0000,0.0000
838,19,0.0000,0.0000
839,19,0.0000,0.0000
840,18,0.0000,0.0000
841,18,0.0000,0.0000
842,19,0.0000,0.0000
843,19,0.0000,0.0000
844,19,0.0000,0.0000
845,18,0.0000,0.0000
846,19,0.0000,0.0000
847,18,0.0000,0.0000
848,19,0.0000,0.0000
849,18,0.0000,0.0000
850,18,0.0000,0.0000
851,19,0.0000,0.0000
852,18,0.0000,0.0000
853,18,0.0000,0.0000
854,18,0.0000,0.0000
855,19,0.0000,0.0000
856,20,0.0000,0.0000
857,19,0.0000,0.0000
858,19,0.0000,0.0000
859,20,0.0000,0.0000
860,20,0.0000,0.0000
861,18,0.0000,0.0000
862,20,0.0000,0.0000
863,20,0.0000,0.0000
864,20,0.0000,0.0000
865,20,0.0000,0.0000
866,19,0.0000,0.0000
867,19,0.0000,0.0000
868,19,0.0000,0.0000
869,19,0.0000,0.0000
870,19,0.0000,0.0000
871,19,0.0000,0.0000
872,19,0.0000,0.0000
873,18,0.0000,0.0000
874,19,0.0000,0.0000
875,19,0.0000,0.0000
876,18,0.0000,0.0000
877,19,0.0000,0.0000
878,19,0.0000,0.0000
879,20,0.0000,0.0000
880,19,0.0000,0.0000
881,19,0.0000,0.0000
882,18,0.0000,0.0000
883,18,0.0000,0.0000
884,19,0.0000,0.0000
885,19,0.0000,0.0000
886,20,0.0000,0.0000
887,19,0.0000,0.0000
888,20,0.0000,0.0000
889,19,0.0000,0.0000
890,19,0.0000,0.0000
891,19,0.0000,0.0000
892,19,0.0000,0.0000
893,18,0.0000,0.0000
894,20,0.0000,0.0000
895,20,0.0000,0.0000
896,19,0.0000,0.0000
897,18,0.0000,0.0000
898,19,0.0000,0.0000
899,18,0.0000,0.0000
900,19,0.0000,0.0000
901,19,0.0000,0.0000
