generation,avg_survival,n1_weight_mag,n2_weight_mag
2222,45,6.0891,8.4596
2223,45,6.0917,8.4602
2224,43,5.9783,8.3852
2225,44,5.9626,8.3792
2226,44,5.9800,8.3766
2227,44,6.0049,8.3731
2228,44,6.0166,8.3714
2229,43,5.8474,8.5443
2230,43,5.8402,8.5419
2231,43,5.8334,8.5400
2232,43,5.8274,8.5386
2233,43,5.8151,8.5376
2234,42,5.9875,8.2911
2235,43,5.9750,8.2922
2236,44,5.9661,8.2923
2237,43,5.9622,8.2905
2238,43,5.9520,8.2925
2239,44,5.7196,8.3676
2240,44,5.7107,8.3679
2241,43,5.7041,8.3679
2242,43,5.6987,8.3680
2243,44,5.6940,8.3681
2244,43,6.1343,8.4869
2245,44,6.1390,8.4873
2246,44,6.1423,8.4837
2247,44,6.1235,8.4880
2248,45,6.1021,8.4909
2249,45,6.0154,8.5592
2250,45,6.0018,8.5589
2251,45,5.9933,8.5587
2252,44,5.9869,8.5586
2253,45,5.9825,8.5584
2254,45,6.1088,8.6688
2255,45,6.1271,8.6602
2256,46,6.1353,8.6551
2257,45,6.1390,8.6523
2258,45,6.1395,8.6505
2259,44,5.9771,8.6151
2260,45,5.9581,8.6157
2261,45,5.9435,8.6157
2262,45,5.9349,8.6155
2263,44,5.9301,8.6150
2264,44,5.8862,8.3396
2265,45,5.8802,8.3380
2266,45,5.8755,8.3362
2267,44,5.8706,8.3350
2268,45,5.8656,8.3340
2269,44,6.0367,8.3175
2270,44,6.0165,8.3139
2271,44,6.0245,8.3120
2272,44,6.0228,8.3093
2273,45,5.9832,8.3108
2274,44,5.8469,8.4926
2275,44,5.8363,8.4893
2276,44,5.8290,8.4879
2277,44,5.8242,8.4867
2278,44,5.8227,8.4854
2279,44,5.9293,8.5375
2280,44,5.9165,8.5373
2281,43,5.9088,8.5370
2282,43,5.9039,8.5368
2283,44,5.9004,8.5365
2284,44,6.0007,8.4032
2285,45,6.0112,8.3984
2286,45,6.0107,8.3961
2287,45,6.0089,8.3939
2288,45,6.0083,8.3912
2289,44,5.8633,8.4380
2290,43,5.8483,8.4387
2291,43,5.8363,8.4389
2292,43,5.8266,8.4387
2293,42,5.8195,8.4384
2294,44,5.9567,8.3852
2295,45,5.9458,8.3867
2296,44,5.9269,8.3854
2297,45,5.9106,8.3805
2298,44,5.9103,8.3798
2299,44,6.0120,8.5133
2300,43,6.0060,8.5083
2301,42,5.9935,8.5043
2302,44,5.9783,8.5012
2303,42,5.9685,8.4997
2304,45,5.9761,8.3888
2305,44,5.9678,8.3827
2306,45,5.9623,8.3791
2307,44,5.9574,8.3767
2308,44,5.9515,8.3754
2309,44,5.9064,8.4889
2310,43,5.8866,8.4887
2311,43,5.8734,8.4891
2312,44,5.8628,8.4894
2313,43,5.8541,8.4895
2314,44,5.9059,8.5256
2315,43,5.9020,8.5233
2316,44,5.8982,8.5219
2317,43,5.8935,8.5213
2318,43,5.8882,8.5210
2319,44,5.8817,8.5336
2320,44,5.8719,8.5301
2321,44,5.8456,8.5376
2322,45,5.8406,8.5372
2323,45,5.8375,8.5365
2324,45,5.9753,8.3201
2325,44,5.9636,8.3168
2326,44,5.9538,8.3159
2327,44,5.9439,8.3158
2328,45,5.9354,8.3158
2329,44,6.0170,8.5254
2330,43,6.0044,8.5135
2331,43,6.0039,8.5029
2332,44,6.0091,8.4984
2333,45,6.0145,8.4953
2334,44,5.9033,8.3330
2335,42,5.8702,8.3304
2336,42,5.8629,8.3267
2337,43,5.8712,8.3270
2338,43,5.8807,8.3227
2339,42,6.0027,8.2492
2340,41,5.9902,8.2497
2341,41,5.9835,8.2497
2342,42,5.9785,8.2485
2343,41,5.9722,8.2483
2344,45,5.7177,8.4525
2345,45,5.7059,8.4535
2346,45,5.6990,8.4539
2347,45,5.6937,8.4541
2348,44,5.6891,8.4542
2349,44,6.0298,8.5468
2350,44,6.0284,8.5434
2351,44,6.0254,8.5406
2352,45,6.0214,8.5381
2353,44,6.0174,8.5359
2354,44,6.0945,8.4318
2355,45,6.0846,8.4316
2356,45,6.0799,8.4307
2357,45,6.0787,8.4270
2358,45,6.0761,8.4246
2359,44,5.8886,8.4454
2360,45,5.8755,8.4457
2361,44,5.8678,8.4455
2362,45,5.8629,8.4452
2363,44,5.8594,8.4449
2364,43,5.8682,8.4853
2365,44,5.8599,8.4844
2366,42,5.8546,8.4835
2367,42,5.8498,8.4826
2368,42,5.8456,8.4816
2369,43,5.9494,8.5689
2370,43,5.9490,8.5644
2371,43,5.9493,8.5619
2372,43,5.9485,8.5597
2373,43,5.9488,8.5579
2374,43,5.8321,8.4951
2375,43,5.8212,8.4937
2376,42,5.8139,8.4932
2377,42,5.8091,8.4928
2378,42,5.8055,8.4924
2379,43,5.7840,8.4954
2380,43,5.7788,8.4828
2381,43,5.7777,8.4761
2382,43,5.7781,8.4724
2383,43,5.7797,8.4701
2384,44,5.8888,8.4554
2385,44,5.8881,8.4530
2386,44,5.8868,8.4519
2387,44,5.8828,8.4514
2388,45,5.8769,8.4510
2389,43,6.0050,8.4340
2390,43,6.0182,8.4077
2391,43,6.0062,8.4032
2392,44,6.0070,8.3966
2393,44,6.0416,8.3798
2394,45,5.9926,8.4288
2395,45,5.9820,8.4293
2396,45,5.9735,8.4299
2397,45,5.9663,8.4303
2398,44,5.9600,8.4305
2399,43,5.8506,8.4437
2400,43,5.8487,8.4431
2401,43,5.8588,8.4410
2402,44,5.8496,8.4400
2403,43,5.8482,8.4393
2404,44,5.7555,8.3921
2405,44,5.7440,8.3901
2406,44,5.7202,8.3913
2407,44,5.7180,8.3847
2408,44,5.7170,8.3834
2409,41,5.9080,8.5350
2410,41,5.9081,8.5287
2411,43,5.9084,8.5192
2412,43,5.9147,8.5095
2413,44,5.9152,8.5034
2414,44,5.9876,8.5696
2415,45,5.9805,8.5687
2416,44,5.9823,8.5664
2417,45,5.9817,8.5647
2418,45,5.9791,8.5634
2419,44,5.9564,8.4871
2420,45,5.9248,8.4834
2421,44,5.9139,8.4815
2422,43,5.9072,8.4804
2423,44,5.9025,8.4789
2424,44,6.0241,8.3726
2425,43,6.0128,8.3669
2426,43,6.0144,8.3626
2427,42,6.0127,8.3608
2428,43,6.0098,8.3599
2429,44,6.0188,8.3812
2430,45,6.0062,8.3757
2431,44,6.0006,8.3721
2432,44,5.9976,8.3693
2433,43,5.9961,8.3673
2434,45,5.9501,8.5162
2435,44,5.9412,8.5148
2436,45,5.9355,8.5142
2437,45,5.9313,8.5137
2438,45,5.9280,8.5132
2439,44,5.8515,8.4635
2440,45,5.8476,8.4639
2441,45,5.8434,8.4642
2442,44,5.8402,8.4641
2443,45,5.8374,8.4639
2444,44,5.8528,8.5024
2445,44,5.8468,8.5018
2446,44,5.8435,8.5014
2447,43,5.8408,8.5012
2448,44,5.8387,8.5010
2449,44,5.9335,8.4418
2450,44,5.9232,8.4400
2451,44,5.9295,8.4400
2452,44,5.9128,8.4389
2453,44,5.9088,8.4415
2454,44,6.0201,8.4758
2455,45,6.0195,8.4716
2456,45,6.0167,8.4700
2457,44,6.0115,8.4691
2458,44,6.0060,8.4691
2459,44,5.9812,8.3660
2460,44,5.9729,8.3626
2461,44,5.9657,8.3616
2462,45,5.9595,8.3609
2463,44,5.9533,8.3604
2464,44,6.0319,8.3504
2465,45,6.0250,8.3482
2466,45,6.0203,8.3470
2467,45,6.0170,8.3461
2468,45,6.0149,8.3454
2469,44,5.8540,8.4532
2470,44,5.8454,8.4479
2471,45,5.8390,8.4406
2472,45,5.8368,8.4349
2473,45,5.8332,8.4323
2474,45,5.9659,8.3156
2475,45,5.9657,8.3079
2476,45,5.9606,8.3069
2477,45,5.9545,8.3056
2478,45,5.9476,8.3044
2479,45,5.8078,8.4944
2480,43,5.8009,8.4942
2481,43,5.7958,8.4940
2482,43,5.7913,8.4937
2483,44,5.7874,8.4932
2484,44,5.7656,8.4526
2485,43,5.7501,8.4494
2486,43,5.7381,8.4474
2487,44,5.7287,8.4459
2488,44,5.7213,8.4445
2489,44,6.1476,8.4669
2490,45,6.1472,8.4640
2491,44,6.1430,8.4632
2492,45,6.1401,8.4615
2493,45,6.1343,8.4608
2494,44,5.9285,8.3480
2495,44,5.9248,8.3464
2496,44,5.8916,8.3455
2497,44,5.8526,8.3404
2498,44,5.8286,8.3388
2499,43,5.8586,8.4157
2500,44,5.8470,8.4109
2501,44,5.8413,8.4018
2502,44,5.8398,8.3973
2503,44,5.8359,8.3957
2504,44,5.8634,8.4565
2505,43,5.8504,8.4555
2506,44,5.8377,8.4541
2507,44,5.8300,8.4527
2508,45,5.8250,8.4523
2509,43,5.8444,8.4745
2510,44,5.8383,8.4752
2511,44,5.8315,8.4755
2512,43,5.8237,8.4763
2513,44,5.8160,8.4789
2514,42,5.9989,8.3962
2515,42,5.9922,8.3955
2516,41,5.9866,8.3946
2517,41,5.9809,8.3940
2518,40,5.9751,8.3936
2519,45,5.9073,8.4836
2520,44,5.9019,8.4825
2521,44,5.8997,8.4823
2522,44,5.8985,8.4824
2523,44,5.8977,8.4825
2524,44,5.9266,8.2926
2525,45,5.9196,8.2919
2526,45,5.9141,8.2915
2527,45,5.8882,8.2923
2528,44,5.8669,8.2856
2529,45,5.8878,8.3390
2530,45,5.8810,8.3373
2531,44,5.8745,8.3349
2532,45,5.8673,8.3347
2533,45,5.8655,8.3327
2534,44,5.9482,8.4891
2535,46,5.9341,8.4848
2536,45,5.9192,8.4811
2537,45,5.9125,8.4795
2538,44,5.9131,8.4765
2539,45,5.9567,8.5040
2540,45,5.9390,8.5018
2541,45,5.9267,8.5009
2542,45,5.9169,8.5003
2543,45,5.9090,8.5000
2544,45,6.0532,8.3505
2545,45,6.0337,8.3521
2546,44,6.0212,8.3525
2547,43,6.0123,8.3521
2548,44,6.0064,8.3518
2549,45,5.9229,8.5344
2550,44,5.9160,8.5333
2551,45,5.9114,8.5309
2552,45,5.9074,8.5289
2553,45,5.9041,8.5273
2554,43,5.9210,8.3768
2555,43,5.9131,8.3761
2556,43,5.9006,8.3729
2557,43,5.8948,8.3715
2558,43,5.8930,8.3709
2559,43,5.8314,8.3953
2560,43,5.8257,8.3975
2561,44,5.8258,8.3989
2562,43,5.8274,8.3997
2563,44,5.8273,8.4004
2564,45,5.8069,8.4446
2565,44,5.7944,8.4442
2566,45,5.7879,8.4430
2567,44,5.7837,8.4420
2568,45,5.7808,8.4412
2569,44,5.7778,8.5214
2570,44,5.7634,8.5187
2571,44,5.7539,8.5169
2572,44,5.7464,8.5157
2573,44,5.7400,8.5149
2574,44,5.7514,8.3979
2575,44,5.7373,8.3985
2576,42,5.7230,8.3851
2577,42,5.7120,8.3781
2578,44,5.7042,8.3758
